epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,8057.02,0.58075,0.99399,0.6556,0.97936,0.87137,0.68859,0.78328,0.68479,0.87096,0.68308,0.77891,0.65861,0.49931,1.02603,0.57808,0.93184,0.007459,0.007459,0.007459
79,8160.5,0.57892,0.99464,0.65089,0.97786,0.85327,0.69767,0.78407,0.68417,0.85554,0.69443,0.7787,0.65814,0.49776,1.02421,0.57913,0.93155,0.007426,0.007426,0.007426
80,8263.6,0.58134,1.00715,0.6544,0.98193,0.8519,0.69669,0.78412,0.6865,0.85258,0.69475,0.77937,0.65991,0.49754,1.01673,0.57376,0.93119,0.007393,0.007393,0.007393
81,8366.59,0.58339,0.99924,0.65604,0.98192,0.84826,0.69702,0.78382,0.68721,0.84916,0.69319,0.77948,0.65956,0.49388,1.01581,0.57535,0.92662,0.00736,0.00736,0.00736
82,8469.62,0.57256,0.97929,0.65263,0.97975,0.84372,0.70151,0.78483,0.68661,0.85784,0.69224,0.77937,0.65961,0.49261,1.01713,0.57268,0.92629,0.007327,0.007327,0.007327
83,8572.9,0.57336,0.98506,0.64199,0.97463,0.85036,0.69791,0.78509,0.68807,0.84957,0.69362,0.78062,0.66063,0.48749,1.01803,0.57275,0.92405,0.007294,0.007294,0.007294
84,8676.12,0.56796,0.97408,0.64207,0.97476,0.85755,0.69254,0.78456,0.68742,0.86364,0.68551,0.78033,0.66048,0.48693,1.01962,0.5771,0.92471,0.007261,0.007261,0.007261
85,8779.44,0.57328,0.98499,0.63618,0.97776,0.8478,0.69994,0.78609,0.68799,0.85008,0.69702,0.78066,0.66107,0.48502,1.01917,0.5727,0.92464,0.007228,0.007228,0.007228
86,8882.81,0.57471,0.9931,0.63749,0.97461,0.87145,0.6876,0.78669,0.68772,0.87346,0.68633,0.78344,0.66046,0.48618,1.01999,0.56937,0.92542,0.007195,0.007195,0.007195
87,8985.86,0.57274,0.96686,0.64483,0.97556,0.87315,0.68827,0.78625,0.68865,0.86883,0.68892,0.78256,0.66079,0.48733,1.02079,0.56687,0.92615,0.007162,0.007162,0.007162
