epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,7432.88,0.54058,0.90838,0.6229,0.96523,0.85808,0.69605,0.78336,0.68828,0.85808,0.69605,0.7796,0.66274,0.48057,0.99106,0.5923,0.92449,0.008581,0.008581,0.008581
45,7601.55,0.54038,0.90258,0.62245,0.97152,0.84996,0.70253,0.79017,0.6899,0.86004,0.69692,0.78579,0.66409,0.48125,0.99904,0.57902,0.92756,0.008548,0.008548,0.008548
46,7770.23,0.53901,0.89763,0.61968,0.96452,0.86282,0.69499,0.78705,0.68748,0.86232,0.69378,0.78283,0.66118,0.48978,0.98676,0.57996,0.92943,0.008515,0.008515,0.008515
47,7939.15,0.5376,0.90253,0.61334,0.9636,0.85672,0.68859,0.78151,0.68634,0.85861,0.69267,0.77985,0.66144,0.48375,1.01004,0.59083,0.92898,0.008482,0.008482,0.008482
48,8107.71,0.53352,0.88407,0.60441,0.96266,0.86231,0.69767,0.79497,0.6974,0.87124,0.68847,0.78942,0.66875,0.47816,1.00504,0.5584,0.92332,0.008449,0.008449,0.008449
49,8276.46,0.53267,0.89325,0.60538,0.9604,0.8549,0.70259,0.79127,0.69882,0.86261,0.69784,0.7886,0.67183,0.47428,0.98186,0.57084,0.92197,0.008416,0.008416,0.008416
50,8445.06,0.53407,0.90069,0.60816,0.95953,0.87313,0.68892,0.79161,0.69725,0.87472,0.68957,0.7877,0.66925,0.46818,0.95228,0.56506,0.91675,0.008383,0.008383,0.008383
51,8613.89,0.52767,0.87127,0.60103,0.95958,0.86576,0.70091,0.79661,0.6983,0.87063,0.69896,0.79127,0.67012,0.46882,0.96697,0.56222,0.92111,0.00835,0.00835,0.00835
52,8782.39,0.53183,0.8914,0.60276,0.96095,0.8641,0.70026,0.79719,0.70598,0.86802,0.69906,0.79384,0.67575,0.45997,0.95941,0.55333,0.90965,0.008317,0.008317,0.008317
53,8951.03,0.52195,0.87017,0.5925,0.95695,0.84811,0.70739,0.79637,0.70553,0.85083,0.70966,0.79275,0.6742,0.45998,0.96121,0.55382,0.91126,0.008284,0.008284,0.008284
54,9119.54,0.52753,0.88474,0.59516,0.95785,0.86407,0.70035,0.79641,0.70611,0.86411,0.70123,0.79314,0.67567,0.4515,0.95174,0.55839,0.91052,0.008251,0.008251,0.008251
55,9287.96,0.51804,0.86034,0.5874,0.95506,0.838,0.70933,0.794,0.7033,0.83985,0.70691,0.78921,0.67257,0.45675,0.94844,0.56972,0.91488,0.008218,0.008218,0.008218
56,9456.3,0.51296,0.85268,0.58144,0.9515,0.86466,0.69765,0.7943,0.70173,0.86438,0.69599,0.79064,0.67386,0.46188,0.94468,0.55017,0.91909,0.008185,0.008185,0.008185
