epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,718.341,0.3873,0.46095,0.36245,0.87176,0.97021,0.97835,0.99166,0.95319,0.96956,0.97619,0.9916,0.88356,0.28838,0.4358,0.26689,0.6119,0.0017426,0.0017426,0.0017426
41,736.28,0.40201,0.45319,0.36556,0.88298,0.96869,0.97403,0.98995,0.95029,0.97473,0.9697,0.9907,0.89381,0.28298,0.36816,0.27505,0.60294,0.001736,0.001736,0.001736
42,754.186,0.3924,0.43839,0.36027,0.87852,0.96779,0.97562,0.9896,0.94432,0.97814,0.96841,0.99031,0.88352,0.30042,0.40718,0.26999,0.61308,0.0017294,0.0017294,0.0017294
43,772.185,0.39099,0.4496,0.36407,0.87852,0.97219,0.96753,0.98748,0.93727,0.9715,0.96104,0.98753,0.87076,0.31491,0.45439,0.29977,0.61883,0.0017228,0.0017228,0.0017228
44,790.113,0.3951,0.45221,0.3502,0.87963,0.97246,0.96753,0.98812,0.9485,0.97228,0.9632,0.988,0.86918,0.30081,0.37355,0.28404,0.61731,0.0017162,0.0017162,0.0017162
45,807.992,0.37758,0.43806,0.3535,0.87118,0.96846,0.97835,0.98754,0.95034,0.96846,0.97835,0.98822,0.87757,0.29233,0.44166,0.29008,0.61533,0.0017096,0.0017096,0.0017096
46,825.868,0.38397,0.43993,0.3548,0.8778,0.97584,0.96187,0.99008,0.95562,0.97804,0.96404,0.99053,0.89468,0.27379,0.40245,0.27523,0.6122,0.001703,0.001703,0.001703
47,843.906,0.37787,0.43404,0.36784,0.87165,0.96529,0.96315,0.9882,0.9413,0.96935,0.95843,0.98812,0.88542,0.28995,0.46051,0.30441,0.62655,0.0016964,0.0016964,0.0016964
48,861.807,0.3787,0.43592,0.34913,0.87436,0.96442,0.97835,0.98993,0.94782,0.96229,0.97619,0.98987,0.89664,0.28207,0.41147,0.27728,0.61447,0.0016898,0.0016898,0.0016898
49,879.661,0.37664,0.44125,0.34559,0.87571,0.97133,0.97186,0.98832,0.95144,0.96917,0.9697,0.98769,0.90021,0.27072,0.43364,0.2757,0.59943,0.0016832,0.0016832,0.0016832
50,897.549,0.37513,0.4434,0.35291,0.87191,0.97404,0.9745,0.99006,0.94959,0.97404,0.9745,0.99087,0.87498,0.28046,0.43526,0.25772,0.60411,0.0016766,0.0016766,0.0016766
51,915.523,0.36812,0.41904,0.33525,0.86684,0.95093,0.96485,0.9877,0.94752,0.95906,0.96334,0.98794,0.89659,0.27846,0.4341,0.27744,0.60461,0.00167,0.00167,0.00167
52,933.395,0.37243,0.41857,0.33632,0.86711,0.97215,0.98231,0.98947,0.94757,0.96993,0.97759,0.98932,0.89094,0.27872,0.41131,0.25299,0.60998,0.0016634,0.0016634,0.0016634
53,951.314,0.37665,0.43755,0.34414,0.87022,0.96954,0.96459,0.98398,0.93989,0.96737,0.96243,0.9821,0.88445,0.28323,0.39644,0.30625,0.61313,0.0016568,0.0016568,0.0016568
54,969.164,0.36835,0.41852,0.33605,0.86994,0.97738,0.97186,0.99063,0.94938,0.9752,0.9697,0.99049,0.8909,0.2992,0.40828,0.27566,0.62603,0.0016502,0.0016502,0.0016502
55,987.176,0.37387,0.42014,0.33989,0.87172,0.96983,0.97406,0.99025,0.94919,0.96577,0.97835,0.99025,0.87198,0.29067,0.43484,0.25548,0.60974,0.0016436,0.0016436,0.0016436
56,1005.05,0.36683,0.41079,0.3286,0.87179,0.9568,0.98918,0.99012,0.9429,0.96012,0.99015,0.99031,0.88956,0.30045,0.42823,0.26358,0.61856,0.001637,0.001637,0.001637
