epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2376.46,0.32901,0.38201,0.29775,0.85297,0.97557,0.96104,0.98953,0.96168,0.97557,0.96104,0.98933,0.91691,0.23356,0.37811,0.24346,0.60372,0.0014786,0.0014786,0.0014786
81,2406.06,0.3083,0.3589,0.29209,0.84728,0.97802,0.96537,0.98743,0.96581,0.98004,0.96753,0.98928,0.9143,0.23241,0.39634,0.25365,0.60585,0.001472,0.001472,0.001472
82,2435.66,0.30397,0.33461,0.28372,0.84529,0.98036,0.97265,0.99025,0.96835,0.98223,0.97186,0.98936,0.90485,0.22554,0.32962,0.22859,0.61242,0.0014654,0.0014654,0.0014654
83,2465.27,0.31215,0.34761,0.28495,0.85376,0.98667,0.96153,0.99082,0.96536,0.96851,0.98485,0.99071,0.90523,0.22152,0.40203,0.21583,0.60548,0.0014588,0.0014588,0.0014588
84,2494.81,0.30971,0.35017,0.28607,0.85243,0.98011,0.97403,0.99158,0.96742,0.98011,0.97403,0.99127,0.90829,0.23125,0.38049,0.22185,0.61616,0.0014522,0.0014522,0.0014522
85,2524.53,0.32035,0.34974,0.28536,0.85551,0.97855,0.97835,0.9913,0.9658,0.98259,0.97723,0.99137,0.91528,0.23091,0.38488,0.22218,0.61186,0.0014456,0.0014456,0.0014456
86,2554.08,0.31275,0.36519,0.28641,0.85354,0.97492,0.98052,0.99085,0.96551,0.97549,0.98052,0.99094,0.91483,0.2327,0.39994,0.24367,0.59998,0.001439,0.001439,0.001439
87,2583.69,0.30541,0.33339,0.27743,0.84709,0.97316,0.96537,0.98757,0.96065,0.9762,0.96753,0.98761,0.90267,0.24056,0.39829,0.25674,0.59837,0.0014324,0.0014324,0.0014324
88,2613.26,0.31095,0.35582,0.27674,0.85461,0.978,0.96212,0.9906,0.97083,0.978,0.96212,0.99064,0.9073,0.22192,0.40839,0.22895,0.60101,0.0014258,0.0014258,0.0014258
89,2642.97,0.30121,0.31904,0.26846,0.85147,0.97188,0.97619,0.9906,0.96815,0.97497,0.97403,0.98968,0.91034,0.22311,0.42952,0.22164,0.59869,0.0014192,0.0014192,0.0014192
90,2672.58,0.30444,0.33438,0.27564,0.85099,0.98123,0.96537,0.99087,0.96929,0.96817,0.98701,0.99121,0.90992,0.21418,0.3807,0.21571,0.59593,0.0014126,0.0014126,0.0014126
91,2702.21,0.29597,0.3332,0.26743,0.84511,0.97626,0.97914,0.99102,0.96932,0.97626,0.97914,0.99153,0.92649,0.22576,0.3548,0.22389,0.59732,0.001406,0.001406,0.001406
92,2731.83,0.30995,0.3454,0.27989,0.85192,0.97203,0.97803,0.99024,0.96777,0.97411,0.97715,0.99152,0.93866,0.24129,0.38048,0.23512,0.61124,0.0013994,0.0013994,0.0013994
93,2761.57,0.30024,0.33315,0.27324,0.85213,0.97602,0.96918,0.99062,0.96753,0.97602,0.96918,0.99056,0.91864,0.22861,0.34051,0.22364,0.60663,0.0013928,0.0013928,0.0013928
94,2791.21,0.29957,0.33449,0.27146,0.84881,0.98145,0.97835,0.99173,0.96626,0.98895,0.96877,0.99102,0.90283,0.24011,0.38328,0.21701,0.5954,0.0013862,0.0013862,0.0013862
95,2820.86,0.29975,0.32709,0.26621,0.8483,0.97625,0.97867,0.99167,0.96877,0.98463,0.9705,0.99163,0.91796,0.23092,0.40595,0.21509,0.5952,0.0013796,0.0013796,0.0013796
96,2850.5,0.30555,0.35671,0.27298,0.84633,0.97877,0.96753,0.99019,0.96673,0.97601,0.96859,0.98775,0.90583,0.22451,0.42256,0.22559,0.59735,0.001373,0.001373,0.001373
97,2880.34,0.29574,0.33444,0.2665,0.8477,0.98014,0.96135,0.99057,0.96664,0.98456,0.96615,0.99117,0.92471,0.22144,0.35896,0.22424,0.59222,0.0013664,0.0013664,0.0013664
98,2909.94,0.29343,0.33055,0.26195,0.8468,0.97211,0.98088,0.99119,0.9701,0.96782,0.97655,0.99139,0.92473,0.21554,0.41666,0.21819,0.59934,0.0013598,0.0013598,0.0013598
99,2939.62,0.30027,0.33328,0.27007,0.85186,0.97869,0.98268,0.9915,0.97114,0.97653,0.98052,0.99144,0.90851,0.21389,0.33564,0.2065,0.59708,0.0013532,0.0013532,0.0013532
100,2969.24,0.29442,0.32896,0.26935,0.84925,0.98336,0.96537,0.9908,0.96694,0.97815,0.96907,0.98464,0.9098,0.22252,0.38664,0.24281,0.59746,0.0013466,0.0013466,0.0013466
101,2998.88,0.29652,0.33486,0.26259,0.85436,0.97222,0.98476,0.99026,0.9703,0.97436,0.98692,0.99088,0.91469,0.21925,0.40243,0.2131,0.59917,0.00134,0.00134,0.00134
102,3028.61,0.29041,0.31304,0.26077,0.84945,0.98421,0.98268,0.99117,0.97117,0.97851,0.98701,0.99133,0.91317,0.21696,0.34062,0.20325,0.59278,0.0013334,0.0013334,0.0013334
103,3058.25,0.29292,0.31387,0.25774,0.84361,0.97848,0.98431,0.99133,0.97088,0.97902,0.98485,0.99133,0.91285,0.21661,0.38874,0.19305,0.59495,0.0013268,0.0013268,0.0013268
104,3087.85,0.29624,0.32322,0.26857,0.85187,0.98054,0.98161,0.99266,0.97201,0.98053,0.98086,0.99277,0.90319,0.21681,0.38795,0.19237,0.60137,0.0013202,0.0013202,0.0013202
105,3117.52,0.29608,0.3329,0.26513,0.84712,0.9844,0.98701,0.99234,0.96644,0.98146,0.98485,0.99221,0.90193,0.223,0.40745,0.20266,0.598,0.0013136,0.0013136,0.0013136
106,3147.28,0.29631,0.31621,0.25922,0.84808,0.9696,0.98701,0.99056,0.97065,0.9696,0.98701,0.99105,0.92736,0.22304,0.35005,0.21234,0.5971,0.001307,0.001307,0.001307
107,3176.91,0.2888,0.31616,0.2626,0.84369,0.9869,0.97817,0.99215,0.97262,0.99315,0.9697,0.9916,0.91964,0.20889,0.41916,0.19389,0.59224,0.0013004,0.0013004,0.0013004
108,3206.51,0.29152,0.31489,0.26542,0.84511,0.96818,0.98773,0.99242,0.97357,0.97567,0.98052,0.99236,0.94291,0.21423,0.39916,0.20193,0.59654,0.0012938,0.0012938,0.0012938
109,3236.15,0.28394,0.32312,0.26121,0.8442,0.97848,0.98418,0.99209,0.96965,0.97633,0.98202,0.99147,0.91629,0.22256,0.3833,0.19963,0.59985,0.0012872,0.0012872,0.0012872
110,3265.88,0.28675,0.32486,0.25719,0.84354,0.97776,0.98485,0.99091,0.97063,0.97597,0.98268,0.99051,0.90705,0.22123,0.39049,0.20348,0.59674,0.0012806,0.0012806,0.0012806
111,3295.53,0.28608,0.31456,0.25559,0.84051,0.98085,0.97186,0.99094,0.96756,0.97326,0.98268,0.99102,0.90763,0.22215,0.38379,0.20627,0.59647,0.001274,0.001274,0.001274
112,3325.15,0.28931,0.33007,0.25885,0.84287,0.97463,0.97835,0.99009,0.96803,0.97248,0.97619,0.98908,0.92275,0.23088,0.36733,0.22155,0.59516,0.0012674,0.0012674,0.0012674
113,3354.74,0.29203,0.32122,0.26714,0.84631,0.9743,0.98469,0.98961,0.96819,0.9743,0.98469,0.98993,0.91746,0.21949,0.35584,0.21014,0.60041,0.0012608,0.0012608,0.0012608
114,3384.49,0.28474,0.31408,0.25214,0.8436,0.9869,0.97812,0.99215,0.97179,0.98908,0.98028,0.99252,0.91111,0.21229,0.35945,0.21408,0.60436,0.0012542,0.0012542,0.0012542
115,3414.12,0.29223,0.32936,0.2551,0.84322,0.97787,0.98052,0.9905,0.97208,0.97787,0.98052,0.99054,0.91193,0.21263,0.38554,0.20655,0.60029,0.0012476,0.0012476,0.0012476
116,3443.74,0.29114,0.32638,0.26113,0.84261,0.97478,0.98268,0.99071,0.97453,0.97797,0.97619,0.99113,0.93135,0.21743,0.38866,0.21818,0.60326,0.001241,0.001241,0.001241
117,3473.34,0.28437,0.30496,0.25202,0.84111,0.97847,0.98393,0.9912,0.97017,0.98473,0.97698,0.99099,0.9157,0.21058,0.36143,0.19763,0.59439,0.0012344,0.0012344,0.0012344
118,3502.92,0.29413,0.34175,0.25569,0.84611,0.98051,0.98,0.98999,0.97276,0.98046,0.97745,0.98954,0.89577,0.21191,0.35104,0.21826,0.59746,0.0012278,0.0012278,0.0012278
119,3532.59,0.2782,0.31286,0.25296,0.84563,0.9785,0.98509,0.99039,0.97219,0.9742,0.98076,0.98974,0.90614,0.21283,0.39367,0.2156,0.60505,0.0012212,0.0012212,0.0012212
120,3562.16,0.27917,0.33007,0.24709,0.84122,0.98471,0.98268,0.99181,0.97571,0.98042,0.97519,0.99137,0.91763,0.20737,0.37511,0.19874,0.59084,0.0012146,0.0012146,0.0012146
121,3591.76,0.27823,0.30882,0.24734,0.85264,0.97848,0.98701,0.99174,0.96901,0.98055,0.98229,0.99146,0.91824,0.20465,0.39117,0.20072,0.59025,0.001208,0.001208,0.001208
